"StageRank","Stage","Rider","Team","RiderCountry","StageGap","StageTime","OverallRank","OverallGap","OverallTime"
112,5,"VIVIANI, Elia ","Quick - Step Floors","ITA",764,14106,82,1452,66387
113,5,"MINALI, Riccardo ","Astana Pro Team","ITA",764,14106,106,2146,67081
114,5,"SENECHAL, Florian ","Quick - Step Floors","FRA",764,14106,107,2158,67093
115,5,"DEMPSTER, Zak ","UniSA-Australia","AUS",764,14106,87,1563,66498
116,5,"SCHMIDT, Mads Würtz ","Team Katusha-Alpecin","DEN",764,14106,116,2484,67419
117,5,"FRAME, Alex ","Trek - Segafredo","NZL",764,14106,121,2849,67784
118,5,"HAAS, Nathan ","Team Katusha-Alpecin","AUS",764,14106,56,825,65760
119,5,"BENNETT, Sam ","BORA - hansgrohe","IRL",764,14106,122,3050,67985
120,5,"BONO, Matteo ","UAE Team Emirates","ITA",764,14106,89,1599,66534
121,5,"SELIG, Rüdiger ","BORA - hansgrohe","GER",764,14106,112,2294,67229
122,5,"PEDERSEN, Mads ","Trek - Segafredo","DEN",764,14106,117,2493,67428
123,5,"KORSÆTH, Truls ","Astana Pro Team","NOR",780,14122,109,2186,67121
124,5,"BAUHAUS, Phil ","Team Sunweb","GER",793,14135,120,2721,67656
125,5,"CIMOLAI, Davide ","FDJ","ITA",793,14135,125,3515,68450
1,6,"GREIPEL, André ","Lotto Soudal","GER",0,7279,96,1868,74082
2,6,"EWAN, Caleb ","Mitchelton-SCOTT","AUS",0,7279,77,1381,73595
3,6,"SAGAN, Peter ","BORA - hansgrohe","SVK",0,7279,32,145,72359
4,6,"BAUHAUS, Phil ","Team Sunweb","GER",0,7279,120,2721,74935
5,6,"VIVIANI, Elia ","Quick - Step Floors","ITA",0,7279,82,1452,73666
6,6,"VON HOFF, Steele ","UniSA-Australia","AUS",0,7279,70,1112,73326
7,6,"CONSONNI, Simone ","UAE Team Emirates","ITA",0,7279,89,1700,73914
8,6,"PEDERSEN, Mads ","Trek - Segafredo","DEN",0,7279,116,2493,74707
9,6,"BARBERO, Carlos ","Movistar Team","ESP",0,7279,78,1407,73621
10,6,"SCHMIDT, Mads Würtz ","Team Katusha-Alpecin","DEN",0,7279,114,2484,74698
11,6,"LATOUR, Pierre ","Ag2R La Mondiale","FRA",0,7279,13,24,72238
12,6,"DEVENYNS, Dries ","Quick - Step Floors","BEL",0,7279,5,20,72234
13,6,"CHEREL, Mikael ","Ag2R La Mondiale","FRA",0,7279,20,29,72243
14,6,"ULISSI, Diego ","UAE Team Emirates","ITA",0,7279,4,20,72234
15,6,"SÜTTERLIN, Jasha ","Movistar Team","GER",0,7279,72,1195,73409
16,6,"IZAGIRRE, Gorka ","Bahrain - Merida","ESP",0,7279,7,20,72234
17,6,"IZAGIRRE, Ion ","Bahrain - Merida","ESP",0,7279,12,24,72238
18,6,"POZZOVIVO, Domenico ","Bahrain - Merida","ITA",0,7279,14,24,72238
19,6,"BERNAL, Egan ","Team Sky","COL",0,7279,6,20,72234
20,6,"BENNETT, George ","Team Lotto NL - Jumbo","NZL",0,7279,11,24,72238
21,6,"WISNIOWSKI, Lukasz ","Team Sky","POL",0,7279,100,2035,74249
22,6,"GUERREIRO, Ruben ","Trek - Segafredo","POR",0,7279,9,23,72237
23,6,"GESINK, Robert ","Team Lotto NL - Jumbo","BEL",0,7279,10,24,72238
24,6,"EARLE, Nathan ","UniSA-Australia","AUS",0,7279,21,29,72243
25,6,"SELIG, Rüdiger ","BORA - hansgrohe","GER",0,7279,108,2294,74508
26,6,"MCCARTHY, Jay ","BORA - hansgrohe","AUS",0,7279,19,29,72243
27,6,"OOMEN, Sam ","Team Sunweb","NED",0,7279,15,24,72238
28,6,"HAMILTON, Christopher ","Team Sunweb","AUS",0,7279,16,24,72238
29,6,"HAAS, Nathan ","Team Katusha-Alpecin","AUS",0,7279,55,825,73039
30,6,"BATTAGLIN, Enrico ","Team Lotto NL - Jumbo","ITA",0,7279,51,703,72917
31,6,"SANCHEZ, Luis León ","Astana Pro Team","ESP",0,7279,8,23,72237
32,6,"PREIDLER, Georg ","FDJ","AUT",0,7279,28,86,72300
33,6,"SLAGTER, Tom-Jelte ","Team Dimension Data for Qhubeka","NED",0,7279,3,16,72230
34,6,"RENSHAW, Mark ","Team Dimension Data for Qhubeka","AUS",0,7279,95,1848,74062
35,6,"DENZ, Nico ","Ag2R La Mondiale","FRA",0,7279,102,2110,74324
36,6,"IMPEY, Daryl ","Mitchelton-SCOTT","RSA",0,7279,1,0,72214
37,6,"DOCKER, Mitchell ","Team EF Education First-Drapac p/b Cannondale","AUS",0,7279,83,1462,73676
38,6,"LAMMERTINK, Maurits ","Team Katusha-Alpecin","NED",0,7279,37,376,72590
39,6,"PUCCIO, Salvatore ","Team Sky","ITA",0,7279,64,992,73206
40,6,"SABATINI, Fabio ","Quick - Step Floors","ITA",0,7279,105,2172,74386
41,6,"SOLER, Marc ","Movistar Team","ESP",0,7279,34,189,72403
42,6,"PORTE, Richie ","BMC Racing Team","AUS",0,7279,2,0,72214
43,6,"HANSEN, Adam ","Lotto Soudal","AUS",0,7279,33,184,72398
44,6,"BAK YTTING, Lars ","Lotto Soudal","DEN",0,7279,27,82,72296
45,6,"CANTY, Brendan ","Team EF Education First-Drapac p/b Cannondale","AUS",0,7279,22,29,72243
46,6,"OSS, Daniel ","BORA - hansgrohe","ITA",0,7279,61,943,73157
47,6,"MONTAGUTI, Mattéo ","Ag2R La Mondiale","ITA",0,7279,79,1414,73628
48,6,"OLIVEIRA, Nelson ","Movistar Team","POR",0,7279,59,858,73072
49,6,"ARASHIRO, Yukiya ","Bahrain - Merida","JPN",0,7279,43,540,72754
50,6,"DEBUSSCHERE, Jens ","Lotto Soudal","BEL",0,7279,118,2509,74723
51,6,"WYSS, Danilo ","BMC Racing Team","SUI",0,7279,57,827,73041
52,6,"MORI, Manuele ","UAE Team Emirates","ITA",0,7279,39,394,72608
53,6,"BEVIN, Patrick ","BMC Racing Team","NZL",0,7279,87,1633,73847
54,6,"VALGREN ANDERSEN, Michael ","Astana Pro Team","Den",0,7279,26,72,72286
55,6,"FRAME, Alex ","Trek - Segafredo","NZL",0,7279,121,2849,75063
56,6,"O'CONNOR, Ben ","Team Dimension Data for Qhubeka","AUS",0,7279,18,26,72240
57,6,"BOARO, Manuele ","Bahrain - Merida","ITA",0,7279,92,1746,73960
58,6,"MARCATO, Marco ","UAE Team Emirates","ITA",0,7279,44,597,72811
59,6,"BEPPU, Fumiyuki ","Trek - Segafredo","JPN",0,7279,63,982,73196
60,6,"CAPECCHI, Eros ","Quick - Step Floors","ITA",0,7279,29,88,72302
61,6,"KOCHETKOV, Pavel ","Team Katusha-Alpecin","RUS",0,7279,93,1764,73978
62,6,"HAYMAN, Mathew ","Mitchelton-SCOTT","AUS",0,7279,60,930,73144
63,6,"GASTAUER, Ben ","Ag2R La Mondiale","LUX",0,7279,49,680,72894
64,6,"EG, Niklas ","Trek - Segafredo","DEN",0,7279,36,324,72538
65,6,"MACHADO, Tiago ","Team Katusha-Alpecin","POR",0,7279,58,830,73044
66,6,"SCULLY, Tom ","Team EF Education First-Drapac p/b Cannondale","NZL",0,7279,81,1441,73655
67,6,"BOHLI, Tom ","BMC Racing Team","SUI",0,7279,74,1220,73434
68,6,"GERRANS, Simon ","BMC Racing Team","AUS",0,7279,41,426,72640
69,6,"DAVIES, Scott ","Team Dimension Data for Qhubeka","GBR",0,7279,23,45,72259
70,6,"WYNANTS, Maarten ","Team Lotto NL - Jumbo","NED",0,7279,68,1039,73253
71,6,"PETERS, Nans ","Ag2R La Mondiale","FRA",0,7279,84,1485,73699
72,6,"DOULL, Owain ","Team Sky","GBR",0,7279,45,630,72844
73,6,"MEYER, Cam ","Mitchelton-SCOTT","AUS",0,7279,25,61,72275
74,6,"MAS NICOLAU, Enric ","Quick - Step Floors","ESP",0,7279,17,24,72238
75,6,"FERNANDEZ, Ruben ","Movistar Team","ESP",0,7279,50,684,72898
76,6,"MORKOV, Michael ","Quick - Step Floors","DEN",0,7279,75,1265,73479
77,6,"LADAGNOUS, Matthieu ","FDJ","FRA",0,7279,80,1426,73640
78,6,"DE KORT, Koen ","Trek - Segafredo","NED",0,7279,52,720,72934
79,6,"PORTER, Alex ","UniSA-Australia","AUS",0,7279,101,2067,74281
80,6,"DIDIER, Laurent ","Trek - Segafredo","LUX",0,7279,31,117,72331
81,6,"MINALI, Riccardo ","Astana Pro Team","ITA",0,7279,104,2146,74360
82,6,"MORENO, Daniel ","Team EF Education First-Drapac p/b Cannondale","ESP",0,7279,24,57,72271
83,6,"SIEBERG, Marcel ","Lotto Soudal","GER",0,7279,109,2347,74561
84,6,"VENTER, Jaco ","Team Dimension Data for Qhubeka","RSA",0,7279,86,1527,73741
85,6,"DLAMINI, Nicholas ","Team Dimension Data for Qhubeka","RSA",0,7279,99,2020,74234
86,6,"EDMONDSON, Alexander ","Mitchelton-SCOTT","AUS",12,7291,76,1375,73589
87,6,"GONÇALVES, José ","Team Katusha-Alpecin","POR",13,7292,85,1498,73712
88,6,"TEUNISSEN, Mike ","Team Sunweb","NED",16,7295,54,767,72981
89,6,"MORTON, Lachlan ","Team Dimension Data for Qhubeka","AUS",18,7297,47,661,72875
90,6,"CLARKE, William ","Team EF Education First-Drapac p/b Cannondale","AUS",18,7297,65,994,73208
91,6,"AGNOLI, Valerio ","Bahrain - Merida","ITA",18,7297,46,634,72848
92,6,"MATOS, Nuno ","Movistar Team","POR",18,7297,67,1035,73249
93,6,"HAGA, Chad ","Team Sunweb","USA",18,7297,94,1835,74049
94,6,"DUCHESNE, Antoine ","FDJ","CAN",18,7297,98,1998,74212
95,6,"SENECHAL, Florian ","Quick - Step Floors","FRA",18,7297,106,2176,74390
96,6,"DENNIS, Rohan ","BMC Racing Team","AUS",18,7297,30,106,72320
97,6,"CLARKE, Simon ","Team EF Education First-Drapac p/b Cannondale","AUS",18,7297,38,388,72602
98,6,"SCOTSON, Miles ","BMC Racing Team","AUS",18,7297,62,969,73183
99,6,"ROE, Tim ","UniSA-Australia","AUS",18,7297,42,462,72676
100,6,"DE VRESSE, Laurens ","Astana Pro Team","BEL",18,7297,53,761,72975
101,6,"STORER, Michael ","Team Sunweb","AUS",18,7297,48,662,72876
102,6,"VANDENBERGH, Stijn ","Ag2R La Mondiale","BEL",30,7309,40,413,72627
103,6,"LEEZER, Thomas ","Team Lotto NL - Jumbo","NED",37,7316,73,1218,73432
104,6,"ARNDT, Nikias ","Team Sunweb","GER",40,7319,56,826,73040
105,6,"RESTREPO, Jhonatan ","Team Katusha-Alpecin","COL",42,7321,66,1022,73236
106,6,"COSTA, Rui ","UAE Team Emirates","POR",65,7344,35,191,72405
107,6,"NAVARDAUSKAS, Ramunas ","Bahrain - Merida","LTU",69,7348,123,3328,75542
108,6,"ZAKHAROV, Artyom ","Astana Pro Team","KAZ",70,7349,71,1116,73330
109,6,"DE GENDT, Thomas ","Lotto Soudal","BEL",80,7359,97,1881,74095
110,6,"CASTRILLO, Jaime ","Movistar Team","ESP",80,7359,107,2221,74435
111,6,"CIMOLAI, Davide ","FDJ","ITA",80,7359,125,3595,75809
112,6,"BOWDEN, Scott ","UniSA-Australia","AUS",80,7359,119,2593,74807
113,6,"BODNAR, Maciej ","BORA - hansgrohe","POL",80,7359,112,2391,74605
114,6,"WELSFORD, Sam ","UniSA-Australia","AUS",91,7370,124,3394,75608
115,6,"BONO, Matteo ","UAE Team Emirates","ITA",106,7385,90,1705,73919
116,6,"WAGNER, Robert ","Team Lotto NL - Jumbo","GER",124,7403,113,2469,74683
117,6,"OLIVIER, Daan ","Team Lotto NL - Jumbo","NED",130,7409,69,1066,73280
118,6,"DEMPSTER, Zak ","UniSA-Australia","AUS",130,7409,88,1693,73907
119,6,"KENNAUGH, Peter ","BORA - hansgrohe","GBR",130,7409,91,1720,73934
120,6,"BENNETT, Sam ","BORA - hansgrohe","IRL",139,7418,122,3189,75403
121,6,"GATTO, Oscar ","Astana Pro Team","ITA",163,7442,103,2145,74359
122,6,"KORSÆTH, Truls ","Astana Pro Team","NOR",163,7442,110,2349,74563
123,6,"LAWLESS, Christopher ","Team Sky","GBR",203,7482,115,2485,74699
124,6,"OWEN, Logan ","Team EF Education First-Drapac p/b Cannondale","USA",266,7545,117,2506,74720
125,6,"HOWSON, Damien ","Mitchelton-SCOTT","AUS",286,7565,111,2379,74593
